#STEP =     20127300
              lambda    F(lambda) fitted   dF/dLambda fitted       F(lambda) raw          <dudl> raw
        0.4100000000        0.5852747949        1.0945811028        0.5852888163        1.0889725576        1.0889725576
        0.4200000000        0.5961649208        1.0835241481        0.5961785419        1.0780757386        1.0780757386
        0.4300000000        0.6069432983        1.0716753704        0.6069592993        1.0652750023        1.0652750023
        0.4400000000        0.6175943152        1.0581813756        0.6176120493        1.0510877489        1.0510877489
        0.4500000000        0.6281127713        1.0470255495        0.6281229268        1.0429633502        1.0429633502
        0.4600000000        0.6385387640        1.0374448608        0.6385525603        1.0319263715        1.0319263715
        0.4700000000        0.6488585145        1.0266025848        0.6488718240        1.0212787980        1.0212787980
        0.4800000000        0.6590697666        1.0153406355        0.6590846120        1.0094024730        1.0094024730
        0.4900000000        0.6691657182        1.0042350921        0.6691786367        0.9990677112        0.9990677112
        0.5000000000        0.6791547840        0.9932557928        0.6791693138        0.9874438744        0.9874438744
        0.5100000000        0.6890289306        0.9815150951        0.6890437525        0.9755863158        0.9755863158
        0.5200000000        0.6987870231        0.9705492792        0.6987996157        0.9655122425        0.9655122425
        0.5300000000        0.7084394518        0.9593977213        0.7084547381        0.9532832001        0.9532832001
        0.5400000000        0.7179768501        0.9489952046        0.7179875701        0.9447072090        0.9447072090
        0.5500000000        0.7274235271        0.9402611466        0.7274346422        0.9358150842        0.9358150842
        0.5600000000        0.7367718318        0.9274305832        0.7367927931        0.9190460822        0.9190460822
        0.5700000000        0.7459699576        0.9137275776        0.7459832539        0.9084090731        0.9084090731
        0.5800000000        0.7550538821        0.9030240610        0.7550673446        0.8976390488        0.8976390488
        0.5900000000        0.7640299516        0.8921256495        0.7640437351        0.8866122501        0.8866122501
        0.6000000000        0.7728899067        0.8786318989        0.7729098576        0.8706515478        0.8706515478
        0.6100000000        0.7816018751        0.8648523454        0.7816163731        0.8590531431        0.8590531431
        0.6200000000        0.7901895500        0.8521113267        0.7902069045        0.8451695104        0.8451695104
        0.6300000000        0.7986428073        0.8388525674        0.7986585996        0.8325356245        0.8325356245
        0.6400000000        0.8069670599        0.8257772331        0.8069839559        0.8190188418        0.8190188418
        0.6500000000        0.8151476691        0.8084287637        0.8151741443        0.7978386855        0.7978386855
        0.6600000000        0.8231436965        0.7943048479        0.8231525311        0.7907710103        0.7907710103
        0.6700000000        0.8310423766        0.7836251429        0.8310602412        0.7764792756        0.7764792756
        0.6800000000        0.8388104154        0.7706318400        0.8388250340        0.7647844045        0.7647844045
        0.6900000000        0.8464500593        0.7556569033        0.8464728780        0.7465294021        0.7465294021
        0.7000000000        0.8539208176        0.7395876224        0.8539381721        0.7326458426        0.7326458426
        0.7100000000        0.8612441476        0.7244526851        0.8612646305        0.7162595276        0.7162595276
        0.7200000000        0.8684053685        0.7075166362        0.8684272258        0.6987737448        0.6987737448
        0.7300000000        0.8753920614        0.6896130287        0.8754149632        0.6804523125        0.6804523125
        0.7400000000        0.8821910395        0.6690735703        0.8822194863        0.6576948281        0.6576948281
        0.7500000000        0.8887812543        0.6516226883        0.8887964346        0.6455505486        0.6455505486
        0.7600000000        0.8952235508        0.6341948104        0.8952519401        0.6228390722        0.6228390722
        0.7700000000        0.9014779445        0.6218845284        0.9014803308        0.6209299846        0.6209299846
        0.7800000000        0.9076616863        0.6097522213        0.9076896307        0.5985744580        0.5985744580
        0.7900000000        0.9136433007        0.5857446234        0.9136753753        0.5729147888        0.5729147888
        0.8000000000        0.9193896679        0.5669726729        0.9194045231        0.5610305570        0.5610305570
        0.8100000000        0.9249871250        0.5499490600        0.9250148287        0.5388675629        0.5388675629
        0.8200000000        0.9303817512        0.5301663116        0.9304035043        0.5214650604        0.5214650604
        0.8300000000        0.9356065236        0.5168125281        0.9356181549        0.5121599958        0.5121599958
        0.8400000000        0.9407091054        0.4999002001        0.9407397549        0.4876404043        0.4876404043
        0.8500000000        0.9455915066        0.4777794731        0.9456161589        0.4679185420        0.4679185420
        0.8600000000        0.9502595844        0.4536145648        0.9502953444        0.4393105875        0.4393105875
        0.8700000000        0.9546685777        0.4313615770        0.9546884502        0.4234125665        0.4234125665
        0.8800000000        0.9589003682        0.4145294858        0.9589225759        0.4056464052        0.4056464052
        0.8900000000        0.9629407612        0.3903348904        0.9629790400        0.3750233756        0.3750233756
        0.9000000000        0.9667175520        0.3703346742        0.9667292737        0.3656459728        0.3656459728
        0.9100000000        0.9703358290        0.3456841908        0.9703857334        0.3257224088        0.3257224088
        0.9200000000        0.9736278590        0.3196829905        0.9736429575        0.3136435722        0.3136435722
        0.9300000000        0.9767727034        0.3109676156        0.9767793933        0.3082916590        0.3082916590
        0.9400000000        0.9798483111        0.3026921571        0.9798623098        0.2970926552        0.2970926552
        0.9500000000        0.9828348589        0.2977416556        0.9828332364        0.2983906561        0.2983906561
        0.9600000000        0.9858068679        0.2942806347        0.9858171430        0.2901706133        0.2901706133
        0.9700000000        0.9887239399        0.2922069424        0.9887188491        0.2942432715        0.2942432715
        0.9800000000        0.9916626443        0.2947882843        0.9916612818        0.2953332971        0.2953332971
        0.9900000000        0.9946209302        0.2978594553        0.9946146148        0.3003856134        0.3003856134
        1.0000000000        0.9976184709        0.3003856134        0.9976184709        0.0000000000        0.3003856134
